Id,DateaAndTime,WaterLevel,Depth
2,2017-04-03T14:06:00,154.68,185.98
3,2017-04-03T14:23:00,163.08,199.98
4,2017-04-11T15:25:00,75.50,107.10
5,2017-04-11T15:37:00,68.37,93.67
6,2017-04-11T15:55:00,58.75,91.45
7,2017-04-12T12:05:00,203.05,246.35
8,2017-06-23T13:14:00,129.14,166.54
9,2017-04-06T16:00:00,101.10,132.40
10,2017-04-06T15:43:00,94.68,127.78
11,2017-04-06T16:17:00,108.76,141.56
12,2017-04-03T17:13:00,179.41,206.51
13,2017-04-03T17:09:00,180.31,203.81
14,2017-04-04T08:33:00,0.00,33.40
15,2017-04-11T10:19:00,0.00,39.50
16,2017-04-11T14:42:00,0.00,38.20
17,2017-04-11T14:50:00,0.00,31.60
18,2017-04-11T14:56:00,0.00,24.30
19,2017-04-11T16:41:00,0.00,31.20
20,2017-06-22T16:30:00,0.00,32.00
21,2017-04-06T11:01:00,0.00,33.20
22,2017-04-06T10:53:00,0.00,27.10
23,2017-04-06T11:06:00,0.00,37.50
24,2017-04-06T10:39:00,0.00,19.90
25,2017-04-06T11:45:00,0.00,24.00
26,2017-04-06T13:08:00,0.00,25.70
27,2017-04-06T13:36:00,0.00,34.20
28,2017-04-06T13:54:00,0.00,30.70
29,2017-04-06T16:27:00,0.00,11.50
30,2017-04-04T14:55:00,0.00,23.20
31,2017-04-04T14:46:00,0.00,31.50
32,2017-04-05T11:55:00,0.00,29.50
33,2017-04-05T11:51:00,0.00,19.30
34,2017-04-04T16:18:00,0.00,21.90
35,2017-04-04T16:32:00,0.00,29.40
36,2017-04-05T13:41:00,0.00,35.70
37,2017-04-05T13:45:00,0.00,26.90
38,2017-04-05T14:07:00,0.00,32.50
39,2017-04-04T17:13:00,0.00,40.00
40,2017-04-05T13:55:00,0.00,26.80
41,2017-04-04T17:20:00,0.00,32.10
42,2017-04-04T17:40:00,0.00,36.90
43,2017-04-04T12:17:00,0.00,35.00
44,2017-04-05T12:28:00,0.00,39.00
45,2017-04-04T13:32:00,0.00,33.20
46,2017-04-04T13:23:00,0.00,37.20
47,2017-04-04T13:14:00,0.00,32.60
48,2017-04-04T13:18:00,0.00,20.40
49,2017-04-04T13:05:00,0.00,36.80
50,2017-04-04T11:29:00,0.00,28.20
51,2017-04-04T11:16:00,0.00,25.30
52,2017-04-04T09:51:00,0.00,30.30
53,2017-04-09T16:36:00,0.00,33.40
54,2017-04-09T16:29:00,0.00,29.00
55,2017-04-09T16:23:00,0.00,23.90
56,2017-04-09T16:00:00,0.00,25.00
57,2017-04-09T14:46:00,0.00,33.70
58,2017-04-09T19:07:00,0.00,21.00
59,2017-04-11T11:12:00,0.00,30.10
60,2017-04-11T14:32:00,0.00,26.30
61,2017-04-11T12:49:00,0.00,26.90
62,2017-04-11T17:38:00,0.00,29.00
63,2017-04-11T17:45:00,0.00,33.40
64,2017-04-10T09:44:00,0.00,25.20
65,2017-04-10T09:38:00,0.00,30.80
66,2017-04-10T09:26:00,0.00,35.90
67,2017-04-10T09:21:00,0.00,35.00
68,2017-04-10T11:44:00,0.00,38.70
69,2017-04-10T12:08:00,0.00,36.00
70,2017-04-10T12:02:00,0.00,27.40
71,2017-04-10T11:53:00,0.00,19.50
72,2017-04-10T12:48:00,0.00,31.20
73,2017-04-10T12:40:00,0.00,10.40
74,2017-04-10T12:33:00,0.00,24.80
75,2017-04-10T15:41:00,0.00,27.20
76,2017-04-25T20:14:00,0.00,34.20
77,2017-06-22T14:55:00,0.00,35.60
78,2017-04-25T20:23:00,0.00,40.00
79,2017-04-24T16:19:00,0.00,34.80
80,2017-04-24T16:07:00,0.00,31.50
81,2017-04-25T10:15:00,0.00,38.80
82,2017-04-25T10:07:00,0.00,22.70
83,2017-04-25T11:44:00,0.00,37.10
84,2017-04-25T12:08:00,0.00,35.30
85,2017-04-25T12:15:00,0.00,33.50
